;source
1116;If I don't have any ice, what can I use?
1117;If you don't have any ice you can use some frozen vegetables wrapped in a dish towel, for example.
1118;How long should I leave the ice pack on the injury?
1119;It is recommended that the ice stays on the injury wrapped in a dish towel for no longer than 20 minutes. Never place ice directly on the skin because it's too cold.
1120;What do I do after I have put an ice pack on the injury?
1121;Support the injured part of the body in a raised position and apply a bandage. The bandage should not be tightly wrapped around the injury. Periodically check that the bandage has not become tight.
1122;I was taught that to treat a strain or sprain, I should use RICE. Can I still use this?
1123;Yes, R.I.C.E. is a great way to remember how to treat a strain or sprain. The letters in R.I.C.E. stand for: Rest Immobilize Cold Elevate
1124;Should I call an ambulance?
1125;Most sprains and strains will respond to rest and cooling the injury. If you suspect that the bone is broken, if they are unable to walk, if the limb is angled, or if the pain is severe, then the person should go to the hospital.
1126;I've heard that you can use a warm cloth or alternate between warm and cold treatment. Is this wrong?
1127;This is not recommended first aid. Ice is the most effective way of reducing the swelling.
1128;What's the difference between a strain and a sprain?
1129;A strain is when a muscle is damaged. A sprain is when a joint, such as a knee, ankle or wrist is damaged.
1130;Stroke
1131;Think F.A.S.T.   Face: is there weakness on one side of their face?  Arms: can they raise both arms?  Speech: is their speech easily understood?  Time: to call ###.
1132;Strokes are caused by a disruption of the blood supply to the brain. Part of the brain becomes damaged, and this can affect people's appearance, bodily functions, speech and sight.
1133;Immediately call ### or get someone else to do it.
1134;A stroke needs immediate attention, and the faster the person receives medical help, the less damage is caused.
1135;Talk to the person to reassure them while you wait for the ambulance.
1136;What other symptoms do stroke victims have?
1137;Symptoms include: - difficulty expressing themselves or understanding other people.
1138;How can I help the person if they are frightened or anxious?
1139;Keep yourself calm so you can think more clearly and help the person who's having the stroke. Help them sit or lie down and reassure them that help is on its way.
1140;What if I can't understand what they are saying?
1141;Somebody who is having a stroke may have difficulty speaking clearly, but they may be able to understand what you say. Reassure them, speak slowly, and acknowledge that help is coming.
1142;Why do people have symptoms like a drooping face, a weak arm and slurred speech when they have a stroke?
1143;Strokes are caused by an interruption in blood supply to the brain. Brain cells become damaged and begin to die, which affects the body's functions. This may result in facial or limb weakness (sometimes only in one limb and sometimes down one side of the body).
1144;Why does a stroke tend to affect only one side of the body?
1145;One half of the brain controls one side of the body, while the other half controls the other side. Since disruption of blood flow to the brain generally involves only one side of the brain, only one side of the brain and body is affected. In addition, for many people the language area is associated with the left side of the brain near the area that controls motor function for the right side of the body. A stroke with right hand and speech problems is common.
1146;Stroke
1147;Think F.A.S.T.   Face: is there weakness on one side of the face?  Arms: can they raise both arms?  Speech: is their speech easily understood?  Time: to call ###.
1148;Immediately call ### or get someone else to do it.
1149;Call ###
1150;Talk to the person to reassure them while you wait for the ambulance.
1151;Learn more
1152;Stroke
1153;If you suspect someone is having a stroke you should think F.A.S.T. What does F.A.S.T. stand for?
1154;Choose the correct answers
1155;If you suspect someone is having a stroke use F.A.S.T. to remember what signs to look for. Face: is there weakness on one side of the person's face? Arms: can the person move both arms? Speech: is the person's speech easily understood? Time: time to call ###.
1156;Fingers, Arms, Speech, Touch
1157;Face, Ask, Speech, Time
1158;Face, Arms, Sing, Talk
1159;Face, Arms, Speech, Time
1160;Which of the following may be present if someone is experiencing a stroke?
1161;Choose the 2 best answers
1162;Symptoms of a stroke are the following: dribbling, numbness, blurred vision, sudden severe headache, difficulty maintaining balance, dizziness or feeling lightheaded, difficulty expressing themselves or understanding other people.
1163;Dribbling
1164;Sneezing
1165;Dizziness
1166;Numbness
1167;Sore throat
1168;Ear ache
1169;Another sign a person may have had a stroke can be seen in his or her arms, On asking someone to raise both arms, which image shows arms that most look like the person may have a stroke?
1170;Choose the correct answer
1171;Arm weakness may mean that the person can only raise one arm.
1172;True or False: Strokes are causes by an interruption in blood supply to the brain. Brain cells become damaged and begin to die, which affects the body's functions.
1173;Choose the correct answer
1174;Strokes are caused by an interruption of blood supply to the brain. Brain cells become damaged and begin to die, which affects the body's functions. This may result in facial or limb weakness (sometimes only in one limb and sometimes down one side of the body).
1175;If you believe someone is having a stroke which of the following should you do?
1176;Choose the correct answer
1177;If you think someone is having a stroke call ### immediately. A stroke needs immediate medical attention and the faster the person receives medical help, the less damage is caused.
1178;Talk to the person for a while, if no improvements call ###
1179;Immedietly call ### or get someone else to do it
1180;Wait for the person to exhibit 5 or more symptoms before you call ###
1181;Have the person stand up and sing his or her favourite song
1182;So close, but you need to try again to earn your Stroke badge.
1183;Survey
1184;First Aid Survey
1185;Take a course
1186;Red Cross First Aid, CPR and AED training meets the needs of workplace responders, school staff, professional responders and healthcare providers, as well as the general public. We offer both certified and non-certified training options. To find out more about the first aid courses available in your area click the Call us link below.
1187;Call us
1188;Learn more from Red Cross.org
1189;Next
1190;Completed all tests. Good job!
1191;Unconscious breathing
1192;Psychological First Aid
1193;Allergies/Anaphylaxis
1194;Stroke
1195;Strains & Sprains
1196;Ticks
1197;Grasp tick with fine-tipped, pointed, non-etched, non-rasped tweezers close to skin and pull slowly.
1198;Don't forget to wear disposable gloves, if available.
1199;DO NOT try to burn tick off or apply petroleum jelly or nail polish to tick.
1200;Wash bite area with soap and water.
1201;Apply antiseptic or triple antibiotic ointment, if available.
1202;Check to see if the person has no known allergies or sensitivities to the ointment.
1203;What insect repellent should be used when going in a grassy or wooded area that may be infested with insects or ticks?
1204;Wear insect repellent containing diethyltoluamide (DEET)
1205;Can children use DEET?
1206;For children, use only products that contain less than 10 percent DEET.
1207;What does a rash from a tick bite look like?
1208;The rash starts as a small red area at the site of the bite but may appear a few days or a few weeks after. On fair skin, the center may be lighter in color and the outer edges red and raised (bull's-eye appearance).
1209;When is medical care required for a tick bite?
1210;Seek medical care if the tick cannot be removed, if its mouthparts remain embedded or if rash or flu-like signals, such as fever, headache, weakness, flu-like joint and muscle pain, occur.
1211;How do people get Lyme disease?
1212;People get Lyme disease from the bite of an infected deer tick.
1213;How big is a deer tick?
1214;It is about the size of a poppy seed or the head of a pin. A deer tick is much smaller than a dog tick.
1215;Trained Unconscious not breathing
1216;Give 30 chest compressions:
1217;Push hard, push fast in the middle of the chest at least 2 inches deep and at least 100 compressions per minute
1218;Give 2 rescue breaths:
1219;- Tilt the head back and lift the chin up. - Pinch the nose shut then make a complete seal over the person's mouth. - Blow in for about 1 second to make the chest clearly rise. - Give rescue breaths, one after the other. - If chest does not rise with resc
1220;Continue cycles of CPR. Do not stop except in one of these situations:
1221;- You find an obvious sign of life, such as breathing. - The scene becomes unsafe.
1222;Tornado
1223;Tornados are capable of completely destroying well-made structures, uprooting trees and hurling objects through the air. Although most common on flat lands, tornadoes have been reported in every terrain.
1224;Before checklist
1225;Listen to local news or a Weather Radio to stay informed about watches and warnings.
1226;Pick a basement, storm cellar or a windowless interior room on the lowest floor as a safe room in your home.
1227;Practice periodic tornado drills so that everyone knows what to do if one is approaching.
1228;Watch for tornado danger signs: Dark, greenish clouds, large hail, funnel cloud, and/or roaring noise.
1229;Put together or buy an emergency preparedness kit.
1230;During
1231;The safest place to be is in an underground shetler, basement or safe room.
1232;Do not wait until you see the tornado.
1233;If none is available, a small, windowless interior room or hallway on the lowest level of a sturdy building is the safest alternative.
1234;Mobile homes are NOT safe during tornadoes or other severe winds.
1235;Do NOT seek shelter in a hallway or bathroom of a mobile home.
1236;If you have access to a sturdy shelter, abandon your mobile home and go there immediately.
1237;If no sturdy shelter is available, get into a vehicle and buckle your seatbelt.
1238;During - outside
1239;If you are caught outdoors, seek shelter in a basement, shelter or sturdy building.
1240;If you cannot quickly walk to a shelter, immediately get into a vehicle and try to drive to the closest sturdy shelter.
1241;Remember to buckle your seat belt and drive at right angles to the storm movement to get out of its path.
1242;Stay away from bridge/highway overpasses.
1243;During - in a car
1244;If strong winds and flying debris occur while you are driving, pull over and park, keeping your seat belts on and engine running. Put your head down below the windows, covering your head with your hands and a blanket, if one's available.
1245;After
1246;Continue listening to local news or a Weather Radio for updated information and instructions.
1247;If away from home, return only when authorities say it is safe to do so.
1248;If you smell gas or hear a blowing or hissing noise, open a window, get everyone out of the building quickly. Call the gas company or fire department.
1249;Watch out for fallen power lines or broken gas lines and report them to the utility company immediately.
1250;Stay out of damaged buildings.
1251;Use battery-Â­powered flashlights when examining buildings. Do NOT use candles.
1252;Unconscious
1253;Check breathing by tilting their head backwards and looking and feeling for breaths.
1254;Are they breathing?
1255;Yes
1256;No
1257;Tsunami
1258;Tsunamis are a series of large waves generated by major earthquakes beneath the ocean floor or major landslides into the ocean. Tsunamis can hit people on beaches or in low coastal areas within minutes after a severe earthquake. This danger period can last for many hours after a major earthquake.
1259;Before checklist
1260;Find out if your home, school, workplace or other frequently visited locations are in tsunami hazard areas.
1261;Buy a battery or hand-crank radio.
1262;Plan evacuation routes to areas 100 ft above sea level or 2 miles inland. If you can't, go as high and far away as you can.
1263;During a potential tsunami situation
1264;If you are in a coastal area and feel an earthquake that lasts 20 seconds or longer a tsunami may come within minutes.
1265;If you feel an earthquake, drop, cover and hold on.
1266;When the shaking stops, move quickly to higher ground away from the coast.
1267;Avoid downed power lines and stay away from buildings and bridges from which heavy objects might fall during an aftershock.
1268;Review evacuation plans with household members. Be ready to move quickly if a tsunami warning is issued.
1269;During a tsunami warning
1270;Take household members and get to higher ground as far inland as possible, taking your pets and your emergency preparedness kit with you.
1271;Watching a tsunami could put you in grave danger. If you can see the wave, you are too close to escape it.
1272;After
1273;Return home only after local officials tell you it is safe. A tsunami is a series of waves that may continue for hours.
1274;Do not assume that after one wave the danger is over. The next wave may be larger than the first one.
1275;Stay out of any building that has water around it. Tsunami water can cause floors to crack or walls to collapse.
1276;Move them onto their side and tilt their head back.
1277;As soon as possible, call ### or get someone else to do it.
1278;Call ###
1279;Continue to monitor the person until help arrives.
1280;Learn more
1281;Call ### as soon as possible, or get someone else to do it.
1282;Call ###
1283;Push firmly downwards in the middle of the chest and then release.
1284;Push at a rate of 100 compressions per minute, until help arrives.
1285;Let the chest rise completely before pushing down again.
1286;Learn more
1287;Unconscious breathing
1288;Check breathing by tilting their head backwards and looking and feeling for breaths.
1289;When a person is unconscious their muscles relax and their tongue can block their airway so they can no longer breathe. Tilting their head back opens the airway by pulling the tongue forward. Looking at their chest to see if it's moving, and feeling for breaths on your cheek, will help you tell if they're breathing or not.
1290;Move them onto their side and tilt their head back.
1291;Putting them in this position with their head back helps keep the airway open by making sure their tongue falls forward and blood and vomit drain out.
1292;Call ### as soon as possible, or get someone else to do it.
1293;How do I treat a baby who is unconscious and breathing?
1294;Place them in the recovery position by cradling them in your arms on their side, with their head tilted back. Call ### or get someone else to do it.
1295;Why do I have to tilt a person's head back to check for breathing?
1296;When anyone is unconscious, their tongue can fall backwards and block their airway. Tilting their head backwards opens the airway by pulling the tongue forward.
1297;If I think the person has a back or neck injury, should I still turn them on their side?
1298;If you suspect a back or neck injury, it is still advisable to move them onto their side. Your priority is to keep them breathing. Try to keep their spine in a straight line when turning them. If possible, get someone else to help you turn them.
1299;How do I look and feel for breaths?
1300;Once the head is tilted back, look to see if their chest is rising and falling. You may also feel breaths on your cheek.
1301;Is it called the 'recovery position' when you move a person onto their side and tilt their head back?
1302;Yes, 'recovery position' is the commonly used term to describe how an unconscious and breathing person should be placed so their airway stays open. Sometimes people get confused by the steps of putting someone in the 'recovery position', and they forget that the most important thing to do is get them on their side with their head tilted back.
1303;Should I try to talk with the person?
1304;Yes, talk to the person and reassure them. Even though they might not respond to you, they may still be able to hear what is going on.
1305;What should I do if someone is feeling faint?
1306;If someone is feeling faint, advise them to lie down on their back and raise their legs to improve blood flow to the brain. Fainting is caused by a temporary reduction in the flow of blood to the brain and can result in a brief loss of consciousness. A person who has fainted should quickly regain consciousness. If they don't, treat them as an unconscious person.
1307;Unconscious breathing
1308;A woman is out walking on a warm day and a man walks out of a bar just in front of her. He stumbles, falls and lies very still. Some bystanders start telling her what to do. Who should she listen to?
1309;Choose 1...
1310;If someone is unconscious, tilt their head back and check for breathing.
1311;"Delivery man:  ""He's probably just drunk, leave him alone."""
1312;"School boy:  ""You need to check if he's breathing. Tilt his head back to open his airway."""
1313;"Business woman:  ""Lift his legs up in the air to get his blood moving."""
1314;"Runner:  ""He's dead, I think, you need to do chest compressions."""
1315;The woman has confirmed that the man is unconscious and breathing.  What position should she put him in to help him keep breathing?
1316;Select 1...
1317;If they are breathing, move them onto their side and tilt their head back.
1318;Excellent. You know how to help someone who's unconscious and breathing. Here's your achievement.
1319;So close! You didn't get them all right. Try again!
1320;Using an EpiPenÂ®
1321;Confirm the EpiPenÂ® is prescribed for the person, then remove the device from its carrier tube or package, if it has one.
1322;Check the expiration date. It is has expired, do not use the EpiPenÂ®.
1323;If the medication is visisble, make sure ht eliquid is clear. If it is cloudy, do not use it.
1324;Locate the outside middle of the person's thigh.
1325;Make sure there are no obstructions  at the site of injection such as a cell phone or keys.
1326;Grasp the EpiPenÂ® firmly in your fist with the needle end - the orange tip - pointed down. With the other hand, pull straight up on the blue safety cap without bending or twisting down.
1327;Do not put your thumb, fingers or hand over the ends.
1328;Hold the EpiPenÂ® with the needle end perpendicular to and near the outer thigh. Quickly and firmly push the tip straight into the outer thigh.
1329;You will hear a click indicating that the spring mechanism has been triggered.
1330;Hold the EpiPenÂ® firmly in place for 10 seconds to deliver the medication. Then, remove the auto-injector from the thigh and massage or have the person massage the injection area.
1331;Once the injection has been given, recheck the person's breathing and watch to see how they respond to the medication.
1332;You should also try to reassure the person to help him or her stay calm should you be waiting for the emergency services to arrive.
1333;If EMS is delayed and the person's symptoms do not improve or improve and then get worse again, administer a second dose of epinephrine using the same method.
1334;Remember a second device is needed.
1335;FAQ
1336;Do these instructions apply to all epinephrine injector devices?
1337;These instructions are based on the widely available EpiPenÂ®. If you are using a different epinephrine injector device, be sure to follow that manufacturer's instructions.
1338;Unconscious not breathing
1339;Check breathing by tilting their head backwards and looking and feeling for breaths.
1340;When a person is unconscious their muscles relax and their tongue can block their airway so they can no longer breathe. Tilting their head back opens the airway by pulling the tongue forward. Looking at their chest to see if it's moving, and feeling for breaths on your cheek, will help you tell if they're breathing or not.
1341;Call ### as soon as possible, or get someone else to do it. If breaths are felt, go to Unconcious Breathing in the Related First Aid section.
1342;If no breaths are felt, start chest compressions. Place the heel of one hand on the center of the chest and the heel of the other hand on top of the first, lacing your fingers together.
1343;Push firmly downwards in the middle of the chest and then release. Push hard and fast.
1344;These are called chest compressions. This keeps blood pumping around their body and helps keep the vital organs, including the brain, alive, and may dislodge an airway obstruction.
1345;Push at a rate of 100 compressions per minute, until help arrives.
1346;Let the chest rise completely before pushing down again.
1347;Full CPR (those certified only)
1348;Do I do chest compressions differently on a child or baby?
1349;The approach is the same, but chest compressions should be modified slightly for children or babies. For a child aged between one year old to twelve, use both hands and compress the chest about 2 inches. For a baby (under one year old), use the pads of two fingers and compress the chest about 1 1/2 inches.
1350;Why do I have to tilt their head back to check for breathing?
1351;When a person is unconscious, their tongue can fall backwards and block their airway. Tilting their head backwards opens the airway by pulling the tongue forward.
1352;How do I look and feel for breaths?
1353;Once the head is tilted back, look to see if their chest is rising and falling. If they are breathing, you may also feel breaths on your cheek.
1354;What are chest compressions?
1355;Chest compressions are where you place your hands in the center of the chest and repeatedly press downwards and release at a rapid rate to help pump the blood around the body.
1356;How long should I do chest compressions for?
1357;You should keep going until help arrives. If there is someone else who can help, change over every one to two minutes, with minimum interruption to chest compressions.
1358;Will I break their ribs?
1359;You might, but don't worry about this. Remember your priority is to keep the blood circulating. A damaged rib will mend, but without delivering chest compressions their chances of survival are significantly reduced.
1360;What if I'm on my own when I find someone unconscious and not breathing?
1361;If you are on your own, call ### before you start chest compressions.
1362;What if I make a mistake and do chest compressions, but the person is still breathing?
1363;It's not ideal but don't worry - there's no evidence to suggest you will cause any serious damage.
1364;Aren't I supposed to do mouth to mouth too?
1365;If you feel able to, you can combine chest compressions with breathing into their mouth or nose. However, giving chest compressions is the most important because their blood already has some oxygen in it and the compressions will keep that blood pumping about their body, taking oxygen to their brain. Breathing into their mouth or nose adds oxygen in their lungs. The combination of continuous cycles of 30 chest compressions followed by two breaths is called CPR (cardiopulmonary resuscitation).
1366;How do I do mouth to mouth / rescue breaths?
1367;If you feel able to, after about 30 pushes on their chest, you can give two steady breaths into their mouth or nose. Seal your mouth over either their mouth or nose, closing the other, and blow air into them with two steady breaths. On a baby (under one year old), you need to seal your mouth around both their nose and mouth because their faces are so small.
1368;Will I restart the heart if I give chest compressions?
1369;The chance of restarting the heart by chest compressions alone is very low. To restart, a heart usually needs an electric shock from a defibrillator. Chest compressions pump a small amount of blood around the body to keep the organs - most importantly the brain - alive. You may not see any visible change in the person's condition, but don't give up. Chest compressions significantly increase the possibility of the person being successfully resuscitated when the emergency services turn up.
1370;What is a defibrillator?
1371;An automated external defibrillator (AED) is a machine that can be used to shock the heart back into normal rhythm. Once opened, the machine gives full instructions, usually verbal, on what to do.
1372;Can I use a defibrillator?
1373;Yes, you can use an automated external defibrillator (AED). Many public places, such as train stations and shopping centers, now have one available. The machine may not shock the person if that isn't the best action to take. Even when the machine does shock them, it doesn't always mean that their heart will restart afterwards.
1374;What should I do if someone has been in a drowning accident and is unconscious and not breathing?
1375;"Do not enter the water unless you are specifically trained to perform in-water rescues.  Get help from a trained responder, such as a lifeguard, to get the person out of the water as quickly and safely as possible.  Then, if the person is not breathing, you will have to give proper care. This entails giving rescue breaths in addition to chest compressions to build up a supply of oxygen in the blood. After about 30 pushes on their chest  give two steady breaths into their mouth or nose. To do this seal your mouth over either their mouth or nose  closing the other  and blow air into them with two steady breaths. On a baby (under one year old)  you need to seal your mouth around both their nose and mouth because their faces are so small. Continue this cycle of 30 compressions followed by two breaths until help arrives."""
1376;Venomous snakes
1377;A person who has been bitten will feel pain. Look for fang marks and swelling.
1378;Call ### immediately if a person is bitten by a venomous snake.
1379;Gently wash the wound.
1380;Keep the bitten part still and lower than the heart. Keep the person calm and do not allow him or her to walk unless absolutely necessary.
1381;Which snakes are venomous and what do they look like?
1382;Venomous snakes include the rattlesnake, copperhead, cottonmouth and coral snake.
1383;What are signals of envenomation (poisoning)?
1384;Signals of moderate envenomation include nausea, vomiting and tingling. Signals of severe envenomation include shock, coma and paralysis.
1385;Should I apply ice to the bite or use a tourniquet?
1386;No, do not apply ice or a tourniquet to a venomous snake bite. Also, do not cut the wound, do not apply suction and do not use electric shock.
1387;Volcano
1388;Explosive volcanoes blast hot solid and molten rock fragments and gases into the air. As a result, ashflows can occur on all sides of a volcano and ash can fall hundreds of miles downwind. Dangerous mudflows and floods can also occur in valleys leading away from volcanoes.
1389;Before checklist
1390;Be prepared to evacuate to higher ground at a moment's notice with your emergency kit.
1391;Buy a battery or hand-crank radio
1392;After
1393;Stay away from volcanic ashfall areas.
1394;When outside
1395;Keep your mouth and nose covered and wear long-sleeved shirts and pants to protect against ash irritation. Also wear goggles or glasses to protect your eyes.
1396;Clear roofs of ashfall. It is very heavy and can cause buildings to collapse.
1397;Exercise great caution when working on a roof.
1398;Stay indoors until local health officials advise it is safe to go outside.
1399;Stay indoors until local health officials advise it is safe to go outside.
1400;Volunteer for us
1401;You can volunteer
1402;The Red Cross mobilizes the power of volunteers to prevent and alleviate human suffering in the face of emergencies. Your local Red Cross could have just the opportunity you're looking for-from training to respond to disasters to supporting a blood drive-from delivering messages to members of our military to connecting families displaced by conflict. Red Cross volunteers are united by their service and the feeling that in changing others' lives, their lives are also changed. Ready to Volunteer?
1403;Find volunteering opportunities
1404;Water safety
1405;Staying safe in and around the water is no accident-it takes knowledge and forethought. Whether it is a day at the beach or a pool party, do not let the good times distract your focus. Aquatic emergencies can happen anywhere, anytime and every second counts. Survival depends on quick rescue and immediate care.
1406;Make Water Satey Your Priority
1407;Ensure that everyone in the family learns to swim well.
1408;Ensure that everyone in the family learns to swim well.
1409;Swim in designated areas supervised by lifeguards.
1410;Always swim with a buddy
1411;Never leave a young child unattended near water and do not trust a child's life to another child.
1412;Teach children to always ask permission to go near water.
1413;Prevent Unsupervised Access to the Water
1414;Home pools or hot tubs should have barriers that enclose the entire pool/tub area, are at least 4-feet high with gates that are self-closing, self-latching and open outward, and away from the area. The latch should be high enough to be out of a small child's reach.
1415;Safety covers and pool alarms should be added as additional layers of protection.
1416;For above-ground or inflatable pools, remove access ladders and secure the safety cover whenever the pool is not in use.
1417;Remove any structures that provide access to the water.
1418;This includes outdoor furniture, climbable trees, decorative walls and playground equipment.
1419;Keep toys that are not in use away from the water and out of sight.
1420;Toys can attract young children to the water.
1421;Maintain Constant Supervision
1422;Actively supervise children whenever around the water.
1423;Do so even when lifeguards are present.
1424;Always stay within arm's reach of young children and avoid distractions when supervising them around water.
1425;Do not use alcohol around the water.
1426;Know What to do in an Emergency
1427;If a child is missing, check the water first.
1428;Seconds count in preventing death or disability.
1429;If you own a home pool or hot tub, have appropriate equipment, such as reaching or throwing equipment, a cell phone, life jackets and a first aid kit.
1430;Enroll in Red Cross home pool safety, water safety, first aid and CPR/AED courses.
1431;Enroll in Red Cross home pool safety, water safety, first aid and CPR/AED courses.
1432;First Aid, CPR or AED classes
1433;Lifeguarding or swimming classes
1434;Home pool safety
1435;Wildfires
1436;More and more people are making their homes in woodland settings, rural areas or remote mountain sites. There, residents enjoy the beauty of the environment but face the very real danger of wildfires. Wildfires often begin unnoticed. They spread quickly, igniting brush, trees and homes.
1437;Before checklist
1438;Learn about wildfire risks in your area.
1439;Plan and practice two ways out of your neighborhood in case your primary route is blocked, as well as selecting a place for family members to meet.
1440;Keep an adequate water source outside your home, such as a small pond, well or swimming pool.
1441;Set aside household items that can be used as fire tools: a rake, ax, hand saw or chain saw, bucket and shovel.
1442;Keep landscaping materials, such as organic mulch, wood piles, etc., away from your home.
1443;If reports of wildfires in your area
1444;Listen to local radio and television stations for updated emergency information.
1445;Always back your car into the garage or park it in an open space facing the direction of escape.
1446;Confine pets to one room so that you can find them if you need to evacuate quickly.
1447;Arrange for temporary housing at a friend or relative's home outside the threatened area.
1448;Use the recycle or reÂ­circulate mode on the air conditioner in your home or car.
1449;If no air conditioning, and it is too hot to stay inside with closed windows, seek shelter elsewhere.
1450;Don't needlessly leave water running, as it may deplete water resources for fire fighting efforts.
1451;Returning home after a wildfire
1452;Do not enter your home until fire officials say it is safe.
1453;Use caution when entering burned areas as hazards may still exist, including hot spots, which can flare up without warning.
1454;Follow public health guidance on safe cleanup of fire ash and safe use of masks.
1455;Ensure your food and water are safe. Discard any food that has been exposed to heat, smoke or soot.
1456;Avoid all contact with water you think may be contaminated.
1457;Wet debris down to minimize breathing dust particles.
1458;Winter Weather (Severe)
1459;Severe weather in winter isn't just uncomfortable - it can be life-threatening, particularly for elderly people. It's a good idea to get prepared will in advance, with the right clothing, food, equipment and contingency plans.
1460;Before checklist
1461;Add winter items to your disaster supply kit: blankets, boots, hats and gloves.
1462;Prepare a car safety kit. Include sand or kitty litter, shovel, snow brushes, window scrapers and blankets.
1463;Listen to a Weather Radio or other local news channels for critical information from your national weather service.
1464;Bring pets/companion animals inside during winter weather.
1465;Running water, even at a trickle, helps prevent pipes from freezing.
1466;During
1467;If you start to shiver uncontrollably, get very tired, turn very pale or get numb fingers, toes or earlobes or nose, go inside right away. These could be signs of frostbite or hypothermia.
1468;Stay home unless you absolutely must travel.
1469;Listen to a Weather Radio or other local news channels for critical information from your national weather service.
1470;If you must go outside in the snow, wear layers of warm clothing, as well as waterproof insulated boots.
1471;Go inside often to get warm and change your clothes if they're wet.
1472;After
1473;Go to a designated public shelter if your home loses power or heat during periods of extreme cold.
1474;Check on your animals and make sure that their access to food and water is not blocked by snow drifts, ice or other obstacles.
1475;If possible, bring them indoors.
1476;Avoid driving when conditions include sleet, freezing rain or drizzle, snow or dense fog.
1477;Before tackling strenuous tasks in cold temperatures, consider your physical condition, the weather factors and the nature of the task.
1478;Protect yourself from frostbite and hypothermia by wearing warm, loose-fitting, lightweight clothing in several layers. Stay indoors, if possible.
1479;Help people who require special assistance such as elderly people living alone, people with disabilities and children.
1480;Carbon monoxide kills
1481;The primary hazards to avoid when using alternate sources for electricity, heating or cooking:  Carbon monoxide poisoning, electric shock and fire.
1482;If the carbon monoxide alarm sounds, move quickly to a fresh air location outdoors or by an open window or door.
1483;Call for help from the fresh air location and remain there until emergency personnel arrive to assist you.
1484;Travel Safety
1485;The best thing you can do is avoid driving during a winter storm.
1486;If you have to drive, plan to arrive at your destination before the storm hits.
1487;Watch weather predictions for your entire route so you know what to expect along the way.
1488;If you must travel while it's snowing, make sure you have an emergency preparedness kit in the car.
1489;Keep your car's gas tank full to keep the fuel line from freezing.
1490;Let someone know your destination, your route and when you expect to arrive. If your car gets stuck along the way, help can be sent along your predetermined route.
1491;If you do get stuck in the snow:
1492;-Stay with the car. Do not try to walk to safety. -Start the car and use the heater for about 10 minutes every hour. Keep the exhaust pipe clear so fumes won't back up in the car. -Keep one window away from the blowing wind slightly open to let in air.
